timestamp,volumeUSD,totalValueLockedUSD,priceUSD,feesUSD
2025-01-09 00:00:00,307530.4440881243,63281441.74251498,13.166715292089322,968.3448061232016
2025-01-09 01:00:00,477171.66846196866,63461452.74452694,13.295614455768163,1764.8131177372968
2025-01-09 02:00:00,468064.30214546947,63243983.95715347,13.163618816732185,1415.8494357097088
2025-01-09 03:00:00,262532.2732779686,63141253.22293347,13.10125812005677,839.6052836007018
2025-01-09 04:00:00,202802.3534522055,63256358.66446614,13.095097777596791,626.0451374226412
2025-01-09 05:00:00,651618.9927818403,63229829.00188169,13.093258702967525,1956.2529167267508
2025-01-09 06:00:00,156470.40313152355,63120081.00822787,13.048779975479896,469.4112093945706
2025-01-09 07:00:00,1253078.5165903552,62723775.63166288,12.768548546975609,4249.277084553511
2025-01-09 08:00:00,253283.12699369507,63103462.83862598,12.89105831433039,759.8493809810852
2025-01-09 09:00:00,47633.065503778686,63171483.328147285,12.89755758132468,161.10353633423077
2025-01-09 10:00:00,402111.1809920504,63011272.91851425,12.783211049588925,1383.1210183962485
2025-01-09 11:00:00,278851.08145069337,62991307.09838255,12.829234222662544,836.5532443520801
2025-01-09 12:00:00,217357.44936302645,62684286.67304672,12.804836654762076,652.0723480890794
2025-01-09 13:00:00,666960.6461877838,59905638.73863834,12.5290611756334,2000.8819385633517
2025-01-09 14:00:00,1242342.8657888833,60818398.57191295,12.413225660179336,4368.0323918134745
2025-01-09 15:00:00,1021757.0022818464,62670783.66189523,12.909302929741196,3065.271006845539
2025-01-09 16:00:00,488705.8683821967,62415422.22610816,12.81665085520985,1466.11760514659
2025-01-09 17:00:00,243738.95442619888,61338138.51218882,12.605636856787752,731.2168632785966
2025-01-09 18:00:00,970970.4567732733,61283918.458822705,12.78867834613578,3474.084598694438
2025-01-09 19:00:00,448526.623858834,60255743.35291574,12.587936644734643,1421.5152298474925
2025-01-09 20:00:00,176863.22716246673,59967186.47529243,12.54163027528261,591.7146955836273
2025-01-09 21:00:00,395253.7456382678,60240650.19563239,12.680293353574449,1435.1606489493
2025-01-09 22:00:00,1236966.4400432203,60159224.39009719,12.885837816542274,4499.691434483253
2025-01-09 23:00:00,373800.5767838982,59921195.61492732,12.876971342541518,1244.1811708906905
