date,feesUSD,priceUSD,totalValueLockedUSD,volumeUSD
2021-11-11,10706.288078267216,25.443723639706743,61322436.48316745,3550815.2687260993
2021-11-12,9388.091507585614,24.51222819048493,59187436.65908221,3043761.4741117386
2021-11-13,8935.427043521577,24.584850716099073,57732606.97576515,2969243.0301040327
2021-11-14,7709.146115413328,24.28128777227312,57897540.13484316,2548503.4883277337
2021-11-15,13387.326430275609,23.938930377169104,57190577.1699323,4441167.618879668
2021-11-16,16838.51449604827,21.937447737360223,52974164.21495119,5513566.984949764
2021-11-17,5946.793413187833,21.90206300031898,53092946.27357422,1945602.3438786815
2021-11-18,9391.087256128207,19.986437804894713,49134312.85918376,3060692.864225252
2021-11-19,6014.266134669811,21.20137771920457,51343201.8966477,1981274.014613524
2021-11-20,9219.248222382335,21.91926056160428,52368808.82066196,3016893.654662645
2021-11-21,5881.540906953919,21.71102990824984,51266438.212429635,1956732.1225731915
2021-11-22,14390.759031355565,21.105837296951886,49389098.46897206,4690351.666970283
2021-11-23,6080.224289161291,22.101431492244252,51795936.00940651,1996801.4070794375
2021-11-24,4858.654511197654,20.90480290025353,49778462.86299223,1527844.6518511295
2021-11-25,4585.394327439094,21.354118905476657,51385242.196820445,1415655.627773418
2021-11-26,9352.195588275164,19.19606464918111,45899138.30456717,2972898.8396582417
2021-11-27,3559.403892500444,19.322642235002736,46010800.542349406,1162191.2699290053
2021-11-28,6272.150409310325,20.157618666557312,48213286.569907874,2048810.767068834
2021-11-29,4638.692441212756,20.4108995088003,49261463.25671912,1493709.8936446928
2021-11-30,8107.562611420992,21.18930087940616,51027803.71150632,2645985.6864292934
2021-12-01,8752.562080210535,20.954862916617994,50376941.348641135,2719064.127522117
2021-12-02,22464.93455195955,22.434164549674502,51780278.236431494,7220554.846376891
2021-12-03,15258.424764608477,20.068722468816848,44316312.86605378,4948781.811541164
2021-12-04,31180.047330941932,17.228833506281976,39243402.709769145,9787076.186529554
2021-12-05,5739.05260172704,16.50018514072841,37251065.58535965,1676121.6896845622
2021-12-06,7852.637306564139,17.266653002832363,38212804.788732514,2609245.4836548413
2021-12-07,5836.684818443775,17.138760327482817,37712869.47689831,1945779.2559172895
2021-12-08,4901.583779209798,18.46882770282713,39484327.0037939,1537024.7444475568
2021-12-09,3323.0482958277967,16.343543924019247,35417748.1279041,1014954.3673411052
2021-12-10,2336.359458976808,15.06126167564916,32667675.202596564,777760.5969525883
2021-12-11,12418.206880167943,15.911355584226836,35037106.94860879,4049439.1796776857
2021-12-12,2363.5236836056743,16.080769211166075,35337861.73502287,788131.8366064265
2021-12-13,12021.409497815095,14.165759708251876,31010585.959252182,4007320.0273275706
2021-12-14,2994.729028788382,14.880852009307295,32197073.582988687,998319.2897090997
2021-12-15,4376.298177396455,15.262598117882824,33032898.33888483,1458795.0327832536
2021-12-16,2540.2254525130966,14.486613936241785,31776598.231361844,847323.0252184118
2021-12-17,3654.2492021765383,15.01230564752288,32868526.58235583,1218103.7168423985
2021-12-18,13148.188170640437,15.635699740535076,34087493.49319588,4364473.891379835
2021-12-19,2863.896634667076,15.052250590973568,33131965.290393326,953220.7670931495
2021-12-20,2641.8358716306943,14.492075415314307,32205200.30519384,881874.4539114224
2021-12-21,3918.551328097707,15.049358207791656,33191052.768228494,1306905.5852078071
2021-12-22,9161.887480251433,16.278518424084037,35122482.52081819,3008884.196915909
2021-12-23,17066.06201490132,18.134444378947403,37941662.256667405,5402709.689851799
2021-12-24,14053.619977537406,17.424862041215064,37051162.250867136,4678246.567078618
2021-12-25,6221.699609001587,17.464572105330934,37113564.20683362,2024871.3105998249
2021-12-26,8656.24940545561,18.599832830587005,38443277.85410975,2676060.0168777066
2021-12-27,12294.428969090608,19.2173578962392,39170893.249825396,3889903.618852727
2021-12-28,21397.092395296437,18.48818496206942,37358692.60933367,6872538.774641904
2021-12-29,13608.865562821667,17.056125433537748,35222826.52632345,4251660.156949797
2021-12-30,6109.977940077683,17.76450160150613,36638797.2917504,1964062.2963055177
2021-12-31,13481.158787327326,17.024376249444153,35386341.60965559,4294382.569854788
2022-01-01,1941.433704933631,17.315903047945923,35981846.20810121,640766.100501356
2022-01-02,4263.236585420882,18.331203086372415,37381248.37615688,1361836.723343975
2022-01-03,7551.756843091623,18.43753164020358,37273123.598137185,2393412.5694066887
2022-01-04,8283.148243645408,18.422430364848324,37230759.351465285,2677161.6103512426
2022-01-05,14658.96121733334,17.262738171517725,34367486.77339978,4652656.227511998
2022-01-06,7841.957282262919,17.123924163911685,33861008.1192338,2554656.124167733
2022-01-07,6857.80319611227,15.77541122921826,31487877.35594207,2269892.589252461
2022-01-08,3833.2924996022775,15.056556709893558,30449250.4988591,1259708.631130246
2022-01-09,12039.729360635001,15.784783552372115,31357979.836496513,3946423.5159476167
2022-01-10,18868.59865250802,15.191440276900128,30173465.121568087,6117589.530231266
2022-01-11,4439.121356432964,15.964000975753583,32134435.781531066,1422591.242847796
2022-01-12,5064.880205134019,16.163619767147477,33080458.3905027,1647617.9155576783
2022-01-13,4249.124317217979,15.505343154275744,32029913.083074935,1393296.314986092
2022-01-14,2977.650505681619,15.782377729106274,32177263.90477616,956687.1550256789
2022-01-15,5693.514821732224,16.50817785994951,33879277.50384902,1824998.460806928
2022-01-16,15235.402567178917,17.833891061421387,34839063.00662425,4885337.628689233
2022-01-17,7230.433795990149,16.625569277580293,33065631.830158796,2331755.763350068
2022-01-18,21260.82292651152,16.11009638017967,32697279.23104857,6816474.843620488
2022-01-19,8000.680622987672,15.243234505583652,31636525.39958058,2618629.486633447
2022-01-20,13356.388646292811,14.447580955329528,30563413.049831524,4500834.280109272
2022-01-21,11197.434822320396,12.582601423175564,25856053.65071242,3762030.699698453
2022-01-22,29642.456544127785,11.097893696273044,23175392.754845846,9510148.066744974
2022-01-23,16983.18736648911,11.434487763825452,24345863.52799571,5009227.857245164
2022-01-24,6432.228360721766,10.720048376817012,22952895.722444836,2091824.2491173225
2022-01-25,1508.1888900467923,10.623497471847774,22882639.268156372,479951.44557145634
2022-01-26,1980.554090580676,10.41112930423644,21707980.356532976,641129.8789523616
2022-01-27,4103.599129810173,10.268480279622054,21451656.892100777,1280890.5799347537
2022-01-28,1870.6663285109903,10.645283279540658,23277983.190936256,613535.9247271685
2022-01-29,7710.917546490523,11.091242124009128,25182205.99546443,2555693.588178579
2022-01-30,7719.485215563037,10.845780670727287,25040478.102369927,2546220.5257783253
2022-01-31,9035.160516995698,11.818216659126866,25541502.585946713,2913213.0560366497
2022-02-01,15277.6892655783,11.159009910596277,26902183.45363456,4944098.774359581
2022-02-02,4833.298126694851,10.60344621987102,26407650.8280795,1598481.8279984097
2022-02-03,7258.977373628898,10.306711036077488,26045123.083154775,2416472.552623869
2022-02-04,6967.421327320334,11.134226699758567,27585700.323895816,2322426.135957528
2022-02-05,16140.05638540634,11.30234259817138,26800325.23484616,5380838.670687182
2022-02-06,5167.845581292759,11.6911606650421,27458345.5594367,1721026.3689673855
2022-02-07,9779.997815323264,12.435629436497113,28083360.254416276,3260749.524467002
2022-02-08,9118.803886124815,11.925780382483929,27499042.526587237,3039000.0605323636
2022-02-09,7556.551099709824,12.372421526481236,28214224.35364463,2519790.2265116144
2022-02-10,5895.8583190067975,11.468412804637389,26720095.213358715,1965222.3964143533
2022-02-11,3906.038238406635,10.73402096896318,25252048.593662083,1302326.7473656712
2022-02-12,1611.0151905596103,10.635275503985255,25022709.780234877,536868.2017856956
2022-02-13,617.0928519439108,10.394282619761759,24497214.117905553,205729.62609794564
2022-02-14,913.0269056872849,10.617195588948073,24811281.716757905,304130.32487368025
2022-02-15,2643.21451394752,11.432996112200748,26167324.972468194,881590.8114858576
2022-02-16,4790.669562231416,11.292527616979099,25939133.277785648,1597120.962679952
2022-02-17,5995.89896498475,10.386518372658884,24370409.35752244,1998806.2584012868
2022-02-18,2518.4348135147225,10.122084163003938,23537840.287214924,839619.3733187208
2022-02-19,1589.699471708486,9.945663053865852,23152541.57856158,530275.7745471179
2022-02-20,3173.792041987203,9.421862745101317,22131902.687172487,1058307.2212899132
2022-02-21,3517.4961510203734,8.61415771778012,20656457.730008416,1172668.182980322
2022-02-22,1314.1182352704059,8.797283824110632,18987776.702162784,437855.15988600726
2022-02-23,1301.5188966034439,8.976857004961772,19827885.960235957,433839.632201148
2022-02-24,2176.571917619291,8.791099573270577,19304732.332493376,725467.7873597456
2022-02-25,2030.1380530926476,9.372113407721566,20289766.17504429,676795.7848921741
2022-02-26,1502.1505102237804,9.02623119599171,19662032.436097737,500767.0763849844
2022-02-27,6353.47517160374,9.780227051046287,20372982.664265133,2118462.647140827
2022-02-28,4530.707008273651,10.474491980986334,21973209.852732617,1511018.9229274255
2022-03-01,11093.72137814594,10.264218809914556,23683841.46291579,3698014.0954744346
2022-03-02,2912.6551980778913,10.069208086619188,23651303.26983243,970816.6514725599
2022-03-03,2608.83564800511,9.597174555084663,22583083.789956108,869725.3361484457
2022-03-04,2137.3170854394034,8.81061565579715,21064156.679981615,712477.9925654959
2022-03-05,2291.123023675361,9.01797480223583,22067834.214712694,763683.1636002949
2022-03-06,2270.224796293081,8.50559616260573,20901287.521052197,757034.4910057079
2022-03-07,2978.0234280837917,8.31933158593901,20439614.97505964,992718.8193490424
2022-03-08,4525.00072405073,8.826693702994506,20531929.28615768,1508372.6327600009
2022-03-09,10294.54180625874,9.171937191666157,21816325.96225333,3431609.13589369
2022-03-10,5551.216518904506,8.669626850805633,20788589.486646477,1850374.467172424
2022-03-11,8994.936921928167,8.599069261894266,20557904.64346761,2998355.9875007826
2022-03-12,4556.829850510308,8.497839707830561,20495506.266527083,1519052.1797956575
2022-03-13,2867.049889433084,8.183781221926997,19882455.012562376,955776.4453860358
2022-03-14,2687.794313362625,8.415099718788266,20821335.316654153,895900.5608564557
2022-03-15,3485.9636568493256,8.690242471714134,21299020.473435078,1161480.0114976503
2022-03-16,10468.486388299209,9.059806550167657,22640335.025359888,3489576.6922094654
2022-03-17,7248.036465999949,9.211027860813527,23194226.0575136,2416027.4857264007
2022-03-18,8621.807035154898,9.646335746699245,24234839.53758046,2873950.9946797737
2022-03-19,11641.51285540932,9.692112756688982,22825145.233538184,3875289.114477939
2022-03-20,3422.272360836959,9.366148427769476,22917255.783121977,1134816.5714897844
2022-03-21,4456.144129703635,9.321342142627916,22886743.775397412,1481070.1119950877
2022-03-22,10819.038591043723,9.755943801591245,23549571.38488041,3597292.8795730006
2022-03-23,11390.088283605975,9.948566377536176,23902461.66014664,3795520.7246833015
2022-03-24,19544.76516781988,10.766222792846332,25142363.954461686,6505451.741847724
2022-03-25,19673.28926838965,10.607800899434496,25137560.691325977,6555074.760342269
2022-03-26,5021.251748489124,10.57945891351292,25583584.778331295,1669795.77363857
2022-03-27,17669.1554194254,11.386348493696396,26943536.39922898,5885781.841142669
2022-03-28,19441.322983019934,10.934849058120006,27408507.99318079,6467875.169225637
2022-03-29,19775.466341043502,11.200068999284424,28119267.289444424,6590947.625249569
2022-03-30,26986.41296106597,11.717260364890898,27363168.502169564,8974258.581191787
2022-03-31,30210.771560173536,11.244679221431753,26856707.27438829,10068341.535720928
2022-04-01,13816.271799008555,11.5987478282964,28586870.617162064,4605423.933002851
2022-04-02,15326.491917164096,11.684323126144474,28575208.24247319,5104471.258116399
2022-04-03,14424.946501754355,11.878462380122732,29379177.14536697,4799665.544994409
2022-04-04,23404.919036573567,11.534769717554392,30167900.40462444,7788723.313271058
2022-04-05,10053.596751141316,11.132322027277496,29297881.013008907,3332642.619849727
2022-04-06,24742.120541533768,9.990013384387893,25438394.848439936,8242111.52012465
2022-04-07,13614.349570817216,10.515295837402835,25648443.02873847,4537546.7968470445
2022-04-08,13861.9071834151,9.691718724331617,25301453.263451178,4620778.708606196
2022-04-09,5971.2991949263105,10.018868729097617,25322666.54984614,1990581.9243959773
2022-04-10,3650.5072088664383,9.953557452553959,24785958.108452123,1216908.4914413416
2022-04-11,2505.5639572667646,9.006459785338917,22709570.168297395,835187.9857555882
2022-04-12,3035.215096132504,9.29219165042198,23274519.800966,1011754.0609683868
2022-04-13,5510.590806527767,9.659361212147887,23936654.978333667,1836868.6875739172
2022-04-14,13852.68255267784,9.4700264967727,23052396.48555979,4617593.924642202
2022-04-15,12912.785897224265,9.754794965874396,24005078.771103866,4302336.358106514
2022-04-16,3147.19947949504,9.665682526152132,24460166.19167972,1047197.7605318757
2022-04-17,3946.0726901298062,9.257896254407871,24355395.5459624,1315423.8719818
2022-04-18,4391.759107913179,9.387386783992664,24869578.771999303,1463830.720829313
2022-04-19,1163.1980282976403,9.516910429167078,25125793.19886883,387783.7891867604
