date,herfindahl_index,number_of_holders,total_supply_held,whale_balance_pct,whale_balance_total,whale_count
2021-02-04 00:00:00.000 UTC,0.0003922533309471741,5494,21506220631.772064,0.9985808286523723,21475699619.655693,87
2021-02-05 00:00:00.000 UTC,0.0005416247965478559,5822,19227850108.25859,0.9984450117987802,19197951028.205425,87
2021-02-06 00:00:00.000 UTC,0.0004198528284638382,5646,18697991256.97391,0.9983766316364964,18667637529.50627,80
2021-02-07 00:00:00.000 UTC,0.00045087335979420595,4810,17785000742.212112,0.9984470433656358,17757381407.31732,71
2021-02-08 00:00:00.000 UTC,0.0005555928224620481,4523,17242679906.04909,0.9986223113327796,17218924861.350018,80
2021-02-09 00:00:00.000 UTC,0.0006174466234136935,4665,14964297234.425804,0.9988120388874374,14946520231.234478,69
2021-02-10 00:00:00.000 UTC,0.00039585293063363177,5773,20610590661.735535,0.9981223542478056,20571891273.72931,84
2021-02-11 00:00:00.000 UTC,0.0005185093012643398,4752,15174707060.765593,0.9986985288479927,15154957617.285845,62
2021-02-12 00:00:00.000 UTC,0.0003868039139519707,5751,18825723780.49587,0.9983655800810189,18794954642.55979,72
2021-02-13 00:00:00.000 UTC,0.0005482340646624581,5296,15270812469.762264,0.9984442468677981,15247054855.431164,74
2021-02-14 00:00:00.000 UTC,0.0005995019632633517,4087,13300088722.492859,0.9988439658430789,13284713365.639576,60
2021-02-15 00:00:00.000 UTC,0.0005685784558290704,3998,14721212727.805302,0.9983672518683614,14697176695.228523,75
2021-02-16 00:00:00.000 UTC,0.0006410710321899999,4803,12730758276.086998,0.9985074085276942,12711756454.848124,73
2021-02-17 00:00:00.000 UTC,0.0006691503385728127,4115,12154224224.439499,0.998446233909181,12135339402.979353,74
2021-02-18 00:00:00.000 UTC,0.0006707849372675071,4159,12574659905.997269,0.9986782538247003,12558039397.360823,69
2021-02-19 00:00:00.000 UTC,0.0004954006931773507,5159,15795175392.241499,0.9984318314738018,15770405895.325605,83
2021-02-20 00:00:00.000 UTC,0.00020849441744257865,8619,33860707567.651768,0.9979974142044492,33792898595.64949,108
2021-02-21 00:00:00.000 UTC,0.0002932822548871097,6416,23871964764.986877,0.9984766045835796,23835598323.282948,85
2021-02-22 00:00:00.000 UTC,0.00042490822734682647,5302,17772156597.659042,0.9985278806769821,17745993862.519928,93
2021-02-23 00:00:00.000 UTC,0.000552799564183554,4393,17663998466.23687,0.9983749012205326,17635292723.888874,88
2021-02-24 00:00:00.000 UTC,0.0005517214555337449,4378,14685355393.275707,0.998199149777009,14658909267.741024,81
2021-02-25 00:00:00.000 UTC,0.000667289267599179,3838,11302107241.897694,0.9983922703056459,11283936508.47612,71
2021-02-26 00:00:00.000 UTC,0.0007115517905895265,3440,11734418857.279446,0.9985625649076203,11717551391.82531,67
2021-02-27 00:00:00.000 UTC,0.0006354922142920898,3635,9433197426.437374,0.9979454963548197,9413816887.939053,67
2021-02-28 00:00:00.000 UTC,0.0007026522191881555,3345,9831956730.25558,0.9981716277634283,9813980253.538807,73
2021-03-01 00:00:00.000 UTC,0.0007330545686951033,3524,9233648808.652695,0.9979791916636356,9214989374.165108,65
2021-03-02 00:00:00.000 UTC,0.0006807709959526456,3609,9920713387.91652,0.9976790328984146,9897687738.518908,82
2021-03-03 00:00:00.000 UTC,0.000960404630221589,3256,7122655152.996512,0.9980419674728714,7108708762.527426,73
2021-03-04 00:00:00.000 UTC,0.00044778320051129533,5587,13680247617.550777,0.997111330962545,13640729909.83324,93
2021-03-05 00:00:00.000 UTC,0.000712323506425776,3548,9967076721.944527,0.9971098798671713,9938270672.844986,118
2021-03-06 00:00:00.000 UTC,0.0007202481482595704,3987,9462553413.955704,0.998127611482288,9444835837.595177,66
2021-03-07 00:00:00.000 UTC,0.00026833978366984753,6176,23841334822.84499,0.9985167808822845,23805972899.24389,106
2021-03-08 00:00:00.000 UTC,0.0004673871939708067,5400,16848521862.680166,0.9983157370286388,16820144521.184685,85
2021-03-09 00:00:00.000 UTC,0.0007070024739299929,4981,10822116792.796602,0.9984412694659222,10805248028.908314,72
2021-03-10 00:00:00.000 UTC,0.0007283647923571428,4101,9671592438.426208,0.9981004541889658,9653220805.523766,72
2021-03-11 00:00:00.000 UTC,0.0008524653604955767,3874,9139045120.173517,0.997932668899087,9120151687.963936,80
2021-03-12 00:00:00.000 UTC,0.0005875249414197599,4274,12322719983.34596,0.9985035343934673,12304279456.71195,98
2021-03-13 00:00:00.000 UTC,0.0008764163006981578,4038,8410699557.395594,0.9982275653872731,8395792142.382819,65
2021-03-14 00:00:00.000 UTC,0.0010198055125434755,3790,7052696670.66589,0.9981629824181774,7039740742.882614,66
2021-03-15 00:00:00.000 UTC,0.0010573666638688333,3346,7154339725.243144,0.9979723834394704,7139833467.536586,63
2021-03-16 00:00:00.000 UTC,0.0011322953867322289,3144,6020996212.384258,0.9976025650964002,6006561265.910246,71
2021-03-17 00:00:00.000 UTC,0.0010053596977664505,3200,7417672851.332915,0.9977035712238733,7400638693.945221,65
2021-03-18 00:00:00.000 UTC,0.001319364213199063,2959,5442220628.333434,0.997678390938458,5429585919.607784,59
2021-03-19 00:00:00.000 UTC,0.0008886561234913498,3441,7373042692.918858,0.9978227434486273,7356989687.412149,64
2021-03-20 00:00:00.000 UTC,0.0008137487586026317,3519,8787401594.584284,0.9977417421672109,8767557376.10345,66
2021-03-21 00:00:00.000 UTC,0.0011021699918832848,3111,6141044601.039627,0.9967087710988077,6120833017.565175,56
2021-03-22 00:00:00.000 UTC,0.0006948258858664381,3884,10104480295.311855,0.9970823735074481,10074999195.908785,69
2021-03-23 00:00:00.000 UTC,0.0004540576761335384,5059,13708983994.00161,0.9974771782184818,13674398670.579058,80
2021-03-24 00:00:00.000 UTC,0.000488291276799758,4218,12440057153.575195,0.9976584009393887,12410927527.430433,79
2021-03-25 00:00:00.000 UTC,0.0006542639028544692,3866,9885509380.522682,0.9981050443026386,9866776778.20074,77
2021-03-26 00:00:00.000 UTC,0.0007985374271002792,4062,8595818667.276226,0.9965520882359604,8566181042.971773,76
2021-03-27 00:00:00.000 UTC,0.0010296188993123233,3187,6844019193.374027,0.9975732702936487,6827410608.686628,59
2021-03-28 00:00:00.000 UTC,0.0011106426939923692,3002,6563377238.079,0.9978635473729572,6549354893.536434,62
2021-03-29 00:00:00.000 UTC,0.0009282079888735743,3165,7018772560.883661,0.9976955484757931,7002598139.757671,64
2021-03-30 00:00:00.000 UTC,0.0008995322705621327,3225,6596772578.44298,0.9974817419175545,6580160202.579261,78
2021-03-31 00:00:00.000 UTC,0.0010806794561113726,3039,6892060651.169891,0.9978474349284366,6877225042.141087,72
2021-04-01 00:00:00.000 UTC,0.0009404488811753862,3013,7893913885.745302,0.9980759864002098,7878725888.073555,72
2021-04-02 00:00:00.000 UTC,0.0009078093273999096,3000,7428461777.691198,0.9979939888859366,7413560200.804754,67
2021-04-03 00:00:00.000 UTC,0.0007667955049921289,3208,9722752857.606482,0.9980294363902531,9703593554.63872,67
2021-04-04 00:00:00.000 UTC,0.001175066086667685,2967,6430176442.404388,0.9981683428013168,6418398563.434855,60
2021-04-05 00:00:00.000 UTC,0.001162532720919937,3254,6321725527.375607,0.9984464769477923,6311904581.039099,65
2021-04-06 00:00:00.000 UTC,0.001032260061662235,3385,6520333845.857869,0.9980444461456506,6507582981.873957,67
2021-04-07 00:00:00.000 UTC,0.0009594533933638443,2924,7187873269.075115,0.9982874221975415,7175563476.867613,63
2021-04-08 00:00:00.000 UTC,0.0008918593476705382,2988,7906594310.896697,0.9983938947262346,7893895488.076443,60
2021-04-09 00:00:00.000 UTC,0.0011084194641167386,2906,6287664965.887522,0.998464642090279,6278011149.74847,62
2021-04-10 00:00:00.000 UTC,0.0010608879291588468,3088,6733308696.283898,0.9983220586625787,6722010599.284785,52
2021-04-11 00:00:00.000 UTC,0.0009973330936587932,3367,7316323912.900526,0.9982144389102686,7303260169.60178,52
2021-04-12 00:00:00.000 UTC,0.0005431887944375535,5370,14900322837.303196,0.9973594856048783,14860978320.359337,85
2021-04-13 00:00:00.000 UTC,0.0006724425358120115,4385,9920719498.022913,0.9977514444666469,9898412209.300789,74
2021-04-14 00:00:00.000 UTC,0.0007574787279550224,3654,7990818400.356781,0.9963233731758753,7961439143.07932,76
2021-04-15 00:00:00.000 UTC,0.0006512568618743341,3324,9027959299.29787,0.9973750424492549,9004261289.36736,72
2021-04-16 00:00:00.000 UTC,0.0009841318903726715,3808,6821815642.54053,0.9965138719919855,6798033919.963558,65
2021-04-17 00:00:00.000 UTC,0.001041871680053585,3587,6671994033.440447,0.9970555665980816,6652348791.350985,55
2021-04-18 00:00:00.000 UTC,0.0007388916544137575,3717,8398980963.59502,0.997321202003002,8376481790.212917,77
2021-04-19 00:00:00.000 UTC,0.0009597107471944053,3421,6372936134.129189,0.997274902021041,6355569258.750038,71
2021-04-20 00:00:00.000 UTC,0.000806850169051016,3278,6857635797.032723,0.9969441021628188,6836679562.632395,67
2021-04-21 00:00:00.000 UTC,0.0006124127918046974,3859,9645328576.9948,0.9969219268381256,9615639549.964493,73
2021-04-22 00:00:00.000 UTC,0.00045742772189075697,4936,11775280836.305218,0.9972245823288391,11742599513.789255,76
2021-04-23 00:00:00.000 UTC,0.0006312188462232122,3822,9092308720.85507,0.9969620687180305,9064686911.76666,69
2021-04-24 00:00:00.000 UTC,0.0007917688672691235,3635,8202209093.751559,0.9979458537166417,8185360556.426302,56
2021-04-25 00:00:00.000 UTC,0.0005289057029222646,4012,10687317804.946976,0.9976386477028601,10662081282.498001,60
2021-04-26 00:00:00.000 UTC,0.0005741736406200488,4184,10422161576.376015,0.9967927108608513,10388734690.745651,76
2021-04-27 00:00:00.000 UTC,0.0005549112476551164,4627,10415215951.332516,0.9973220381677592,10387324400.540302,71
2021-04-28 00:00:00.000 UTC,0.0005831059300469749,4503,10483910923.685608,0.9972529781345667,10455111391.142988,68
2021-04-29 00:00:00.000 UTC,0.0006237717124448758,4383,9966771615.211311,0.9976634732503645,9943483986.724863,76
2021-04-30 00:00:00.000 UTC,0.0007836772359105487,4044,9907622591.967972,0.9977850403838865,9885677608.035069,70
2021-05-01 00:00:00.000 UTC,0.0005958997497930066,4149,10307568456.495523,0.9976680868562736,10283532102.131962,63
2021-05-02 00:00:00.000 UTC,0.0005227993815980933,4216,11331093818.811752,0.9966113998426623,11292697272.514519,53
2021-05-03 00:00:00.000 UTC,0.0003895227632727749,4630,14009401212.278904,0.9970209807377296,13967666936.214651,65
2021-05-04 00:00:00.000 UTC,0.00022114682258968655,6496,28872964583.218567,0.9987786048906795,28837699285.48504,67
2021-05-05 00:00:00.000 UTC,0.00018622992278625843,6877,26990605763.359035,0.9976922169912181,26928317301.981625,72
2021-05-06 00:00:00.000 UTC,0.000477257770152171,5185,13998133359.562649,0.9962264410415196,13945310578.021667,70
